Run by AMM on 25 Nov 2016 18:22:40
Recall order is  Mykrobe Mykrobe Genefinder
disagreements: sites

          site |      Freq.     Percent        Cum.
           C00003321 |          3        0.48       40.51
           C00003337 |          3        0.48       40.99
           C00003341 |          3        0.48       41.47
           C00003347 |          3        0.48       41.95
           C00003411 |          3        0.48       42.42
           C00007064 |          3        0.48       42.90
           C00008638 |          3        0.48       43.38
           C00013217 |          3        0.48       43.86
    H104420250-444-2 |          3        0.48       44.34
    H110820268-195-2 |          3        0.48       44.82
 H120420116-223-A0-2 |          3        0.48       45.30
 H120600058-224-B0-2 |          3        0.48       45.77
    H121320099-507-1 |          3        0.48       46.25
    H121340220-509-1 |          3        0.48       46.73
H122900151-350-H09-2 |          3        0.48       47.21
    H123120336-557-1 |          3        0.48       47.69
H124420844-355-E10-2 |          3        0.48       48.17
    H132540570-419-2 |          3        0.48       48.64
    RH08000028-150-1 |          3        0.48       49.12
RH11000090-289-C02-2 |          3        0.48       49.60
           C00000785 |          2        0.32       49.92
           C00000786 |          2        0.32       50.24
           C00000790 |          2        0.32       50.56
           C00000800 |          2        0.32       50.88
           C00000815 |          2        0.32       51.20
           C00000817 |          2        0.32       51.52
           C00001091 |          2        0.32       51.83
           C00001265 |          2        0.32       52.15
           C00003122 |          2        0.32       52.47
           C00003130 |          2        0.32       52.79
           C00003137 |          2        0.32       53.11
           C00003165 |          2        0.32       53.43
           C00003306 |          2        0.32       53.75
           C00003307 |          2        0.32       54.07
           C00003314 |          2        0.32       54.39
           C00003333 |          2        0.32       54.70
           C00003339 |          2        0.32       55.02
           C00003389 |          2        0.32       55.34
           C00003395 |          2        0.32       55.66
           C00003396 |          2        0.32       55.98
           C00003397 |          2        0.32       56.30
           C00003415 |          2        0.32       56.62
           C00003419 |          2        0.32       56.94
           C00003422 |          2        0.32       57.26
           C00012749 |          2        0.32       57.58
           C00013230 |          2        0.32       57.89
 H101120403-273-C1-2 |          2        0.32       58.21
    H104080090-443-2 |          2        0.32       58.53
    H104600048-190-2 |          2        0.32       58.85
    H105020486-191-2 |          2        0.32       59.17
H105260391-374-H12-2 |          2        0.32       59.49
    H110520238-116-2 |          2        0.32       59.81
    H111640001-197-2 |          2        0.32       60.13
    H113640215-127-2 |          2        0.32       60.45
 H114080202-255-A1-2 |          2        0.32       60.77
    H114120077-144-1 |          2        0.32       61.08
H114680370-339-E08-2 |          2        0.32       61.40
    H120440759-384-2 |          2        0.32       61.72
 H120840083-225-C0-2 |          2        0.32       62.04
    H121000455-532-1 |          2        0.32       62.36
    H121300130-139-1 |          2        0.32       62.68
    H121320082-506-1 |          2        0.32       63.00
H122560310-348-F09-2 |          2        0.32       63.32
    H123100271-555-1 |          2        0.32       63.64
    H123120337-556-1 |          2        0.32       63.96
H123700164-353-C10-2 |          2        0.32       64.27
    H124860349-210-1 |          2        0.32       64.59
    H124940430-401-1 |          2        0.32       64.91
H130240275-357-G10-2 |          2        0.32       65.23
    H132620132-420-2 |          2        0.32       65.55
    H133180046-621-1 |          2        0.32       65.87
    H133180047-622-1 |          2        0.32       66.19
    H133520197-646-1 |          2        0.32       66.51
    H133760113-576-1 |          2        0.32       66.83
    H133920237-578-1 |          2        0.32       67.15
    RH10000448-161-1 |          2        0.32       67.46
 RH11000042-258-D1-2 |          2        0.32       67.78
RH11000044-286-H01-2 |          2        0.32       68.10
RH11000072-288-B02-2 |          2        0.32       68.42
 RH12000505-239-A0-2 |          2        0.32       68.74
    RH12000540-156-1 |          2        0.32       69.06
           C00000784 |          1        0.16       69.22
           C00000787 |          1        0.16       69.38
           C00000788 |          1        0.16       69.54
           C00000789 |          1        0.16       69.70
           C00000799 |          1        0.16       69.86
           C00000806 |          1        0.16       70.02
           C00000808 |          1        0.16       70.18
           C00000809 |          1        0.16       70.33
           C00000816 |          1        0.16       70.49
           C00000818 |          1        0.16       70.65
           C00000820 |          1        0.16       70.81
           C00000828 |          1        0.16       70.97
           C00000829 |          1        0.16       71.13
           C00000831 |          1        0.16       71.29
           C00000857 |          1        0.16       71.45
           C00001079 |          1        0.16       71.61
           C00001080 |          1        0.16       71.77
           C00001100 |          1        0.16       71.93
           C00001102 |          1        0.16       72.09
           C00001226 |          1        0.16       72.25
           C00001240 |          1        0.16       72.41
           C00001387 |          1        0.16       72.57
           C00002620 |          1        0.16       72.73
           C00003084 |          1        0.16       72.89
           C00003092 |          1        0.16       73.05
           C00003093 |          1        0.16       73.21
           C00003111 |          1        0.16       73.37
           C00003115 |          1        0.16       73.52
           C00003121 |          1        0.16       73.68
           C00003125 |          1        0.16       73.84
           C00003144 |          1        0.16       74.00
           C00003155 |          1        0.16       74.16
           C00003158 |          1        0.16       74.32
           C00003164 |          1        0.16       74.48
           C00003176 |          1        0.16       74.64
           C00003195 |          1        0.16       74.80
           C00003221 |          1        0.16       74.96
           C00003223 |          1        0.16       75.12
           C00003224 |          1        0.16       75.28
           C00003240 |          1        0.16       75.44
           C00003242 |          1        0.16       75.60
           C00003249 |          1        0.16       75.76
           C00003250 |          1        0.16       75.92
           C00003252 |          1        0.16       76.08
           C00003253 |          1        0.16       76.24
           C00003254 |          1        0.16       76.40
           C00003259 |          1        0.16       76.56
           C00003260 |          1        0.16       76.71
           C00003270 |          1        0.16       76.87
           C00003277 |          1        0.16       77.03
           C00003278 |          1        0.16       77.19
           C00003290 |          1        0.16       77.35
           C00003292 |          1        0.16       77.51
           C00003302 |          1        0.16       77.67
           C00003303 |          1        0.16       77.83
           C00003319 |          1        0.16       77.99
           C00003332 |          1        0.16       78.15
           C00003348 |          1        0.16       78.31
           C00003351 |          1        0.16       78.47
           C00003352 |          1        0.16       78.63
           C00003354 |          1        0.16       78.79
           C00003355 |          1        0.16       78.95
           C00003362 |          1        0.16       79.11
           C00003379 |          1        0.16       79.27
           C00003381 |          1        0.16       79.43
           C00003410 |          1        0.16       79.59
           C00003414 |          1        0.16       79.74
           C00007083 |          1        0.16       79.90
           C00007096 |          1        0.16       80.06
           C00008625 |          1        0.16       80.22
           C00008949 |          1        0.16       80.38
           C00008960 |          1        0.16       80.54
           C00012738 |          1        0.16       80.70
           C00012775 |          1        0.16       80.86
           C00012776 |          1        0.16       81.02
           C00012780 |          1        0.16       81.18
           C00012784 |          1        0.16       81.34
           C00013162 |          1        0.16       81.50
           C00013165 |          1        0.16       81.66
           C00013195 |          1        0.16       81.82
           C00013213 |          1        0.16       81.98
           C00013221 |          1        0.16       82.14
           C00013224 |          1        0.16       82.30
           C00013231 |          1        0.16       82.46
           C00013235 |          1        0.16       82.62
           C00013241 |          1        0.16       82.78
           C00013248 |          1        0.16       82.93
           C00013318 |          1        0.16       83.09
           C00013326 |          1        0.16       83.25
           C00013335 |          1        0.16       83.41
           C00013362 |          1        0.16       83.57
           C00013364 |          1        0.16       83.73
           C00013367 |          1        0.16       83.89
           C00013393 |          1        0.16       84.05
           C00013401 |          1        0.16       84.21
           C00013406 |          1        0.16       84.37
    H034660053-158-1 |          1        0.16       84.53
H065060092-367-A12-2 |          1        0.16       84.69
 H065120079-263-A1-2 |          1        0.16       84.85
 H074780626-266-D1-2 |          1        0.16       85.01
    H080980484-164-1 |          1        0.16       85.17
 H082600495-244-F0-2 |          1        0.16       85.33
 H091100226-245-G0-2 |          1        0.16       85.49
 H093620523-269-G1-2 |          1        0.16       85.65
    H100140197-167-2 |          1        0.16       85.81
    H100200151-169-2 |          1        0.16       85.96
    H100800158-172-2 |          1        0.16       86.12
    H101020134-173-2 |          1        0.16       86.28
    H101520278-175-2 |          1        0.16       86.44
    H101580214-176-2 |          1        0.16       86.60
 H101740329-274-D1-2 |          1        0.16       86.76
 H101740629-240-B0-2 |          1        0.16       86.92
 H102820334-277-G1-2 |          1        0.16       87.08
 H102840444-246-H0-2 |          1        0.16       87.24
    H103060332-756-2 |          1        0.16       87.40
    H103220288-184-2 |          1        0.16       87.56
 H103360314-241-C0-2 |          1        0.16       87.72
    H103440108-442-2 |          1        0.16       87.88
H103560109-371-E12-2 |          1        0.16       88.04
 H104340410-220-F0-2 |          1        0.16       88.20
    H104420050-188-2 |          1        0.16       88.36
 H105020135-247-A0-2 |          1        0.16       88.52
 H105140339-248-B0-2 |          1        0.16       88.68
    H111600186-455-2 |          1        0.16       88.84
    H111740190-456-2 |          1        0.16       89.00
    H111940137-460-2 |          1        0.16       89.15
H111960080-332-F07-2 |          1        0.16       89.31
    H112060137-461-2 |          1        0.16       89.47
    H112540036-142-1 |          1        0.16       89.63
    H112660153-200-1 |          1        0.16       89.79
    H113020155-466-2 |          1        0.16       89.95
    H113140144-468-2 |          1        0.16       90.11
H113420072-336-B08-2 |          1        0.16       90.27
    H113880160-476-1 |          1        0.16       90.43
    H113920345-478-1 |          1        0.16       90.59
    H114340058-470-2 |          1        0.16       90.75
    H114700366-481-1 |          1        0.16       90.91
    H114720432-482-1 |          1        0.16       91.07
    H120220271-381-2 |          1        0.16       91.23
    H120680309-385-2 |          1        0.16       91.39
H120860096-346-D09-2 |          1        0.16       91.55
    H121060252-533-1 |          1        0.16       91.71
    H121100042-534-1 |          1        0.16       91.87
    H121120051-535-1 |          1        0.16       92.03
    H121800040-510-1 |          1        0.16       92.19
    H122660093-513-1 |          1        0.16       92.34
    H122840129-206-1 |          1        0.16       92.50
    H122960028-515-1 |          1        0.16       92.66
    H122960030-517-1 |          1        0.16       92.82
    H123020176-551-1 |          1        0.16       92.98
    H123020177-552-1 |          1        0.16       93.14
    H123020178-553-1 |          1        0.16       93.30
    H123100270-554-1 |          1        0.16       93.46
    H123120338-558-1 |          1        0.16       93.62
    H123220266-561-1 |          1        0.16       93.78
    H124060094-134-1 |          1        0.16       93.94
 H124420845-227-E0-2 |          1        0.16       94.10
    H124720623-209-1 |          1        0.16       94.26
H125280642-356-F10-2 |          1        0.16       94.42
    H125280642-841-2 |          1        0.16       94.58
    H130660215-405-2 |          1        0.16       94.74
    H131660094-412-2 |          1        0.16       94.90
    H131800554-414-2 |          1        0.16       95.06
    H131800573-415-2 |          1        0.16       95.22
    H132280003-416-2 |          1        0.16       95.37
    H132920375-623-1 |          1        0.16       95.53
    H133060079-613-1 |          1        0.16       95.69
    H133100176-615-1 |          1        0.16       95.85
    H133200270-608-1 |          1        0.16       96.01
    H133240054-609-1 |          1        0.16       96.17
    H133560609-593-1 |          1        0.16       96.33
    H133580086-601-1 |          1        0.16       96.49
    H133580087-582-1 |          1        0.16       96.65
    H133900439-581-1 |          1        0.16       96.81
    H133960268-568-1 |          1        0.16       96.97
    H133960269-569-1 |          1        0.16       97.13
 RH07000425-233-C0-2 |          1        0.16       97.29
 RH10000375-235-E0-2 |          1        0.16       97.45
 RH10000389-236-F0-2 |          1        0.16       97.61
RH11000029-284-F01-2 |          1        0.16       97.77
RH11000133-292-F02-2 |          1        0.16       97.93
RH11000142-293-G02-2 |          1        0.16       98.09
RH11000146-294-H02-2 |          1        0.16       98.25
RH12000046-298-D03-2 |          1        0.16       98.41
RH12000340-301-G03-2 |          1        0.16       98.56
RH12000346-307-E04-2 |          1        0.16       98.72
    RH12000366-426-2 |          1        0.16       98.88
    RH12000370-430-2 |          1        0.16       99.04
    RH12000374-434-2 |          1        0.16       99.20
    RH12000375-435-2 |          1        0.16       99.36
    RH12000376-436-2 |          1        0.16       99.52
    RH12000379-439-2 |          1        0.16       99.68
    RH12000381-441-2 |          1        0.16       99.84
 RH12000503-261-G1-2 |          1        0.16      100.00
---------------------+-----------------------------------
               Total |        627      100.00
disagreements: set

        set |      Freq.     Percent        Cum.
------------+-----------------------------------
 Collindale |        349       55.66       55.66
  Oxford501 |        233       37.16       92.82
  Oxford491 |         45        7.18      100.00
------------+-----------------------------------
      Total |        627      100.00

               |               set
          site | Collind..  Oxford491  Oxford501 |     Total
---------------+---------------------------------+----------
      aac6aph2 |         3          0          0 |         3 
    aaddaph4ia |         0          0          2 |         2 
    aadeant6ia |        25          1          4 |        30 
        ant9ia |         4          0          3 |         7 
  apha3aph3iii |         0          0          1 |         1 
          arca |         1          0          0 |         1 
          arcb |         3          1          2 |         6 
          arcc |         3          1          2 |         6 
          arcd |         3          1          2 |         6 
          blaz |        19          4          4 |        27 
          ccra |         3          0          2 |         5 
          ccrb |         4          7         22 |        33 
         ccrca |        16          1          1 |        18 
         ccrcb |        39          2          3 |        44 
         ccrcc |        21          0          2 |        23 
           cfr |         1          0          0 |         1 
           chp |         3          4         40 |        47 
          dfra |         4          0          0 |         4 
          dfrb |         0          1          0 |         1 
          dfrc |        37          0          0 |        37 
          dfrg |         1          0          0 |         1 
          erma |         3          0          3 |         6 
          ermb |         0          0          1 |         1 
          ermc |         2          4          6 |        12 
           eta |         1          0          0 |         1 
           etb |         1          1          0 |         2 
           etd |         1          0          1 |         2 
          fusa |         0          0          2 |         2 
          fusb |         1          0          1 |         2 
          fusc |         1          0          2 |         3 
     grla/gyra |         2          0          1 |         3 
          lnua |         6          0          0 |         6 
         lukmf |         6          0          0 |         6 
        lukpvf |         2          0          0 |         2 
        lukpvs |         3          0          1 |         4 
          meca |         3          0          0 |         3 
          mphc |         1          0          0 |         1 
          msra |         0          0          1 |         1 
          mupa |         2          0          0 |         2 
          qaca |         2          0          0 |         2 
          qacb |        38          8          0 |        46 
       qaccsmr |         2          2          6 |        10 
          rpob |         1          0          1 |         2 
           sak |         4          0          4 |         8 
          sasx |        15          0          0 |        15 
          sat4 |         1          0          2 |         3 
           scn |         3          0         15 |        18 
           sea |         2          0          2 |         4 
           seb |         1          1          1 |         3 
           sec |         2          0          3 |         5 
           seg |         2          2         22 |        26 
           seh |         2          0          2 |         4 
           sei |        14          1         27 |        42 
           sep |         0          1          2 |         3 
           seu |        28          2         29 |        59 
          tetk |         5          0          3 |         8 
          tetm |         0          0          2 |         2 
         tsst1 |         2          0          3 |         5 
---------------+---------------------------------+----------
         Total |       349         45        233 |       627 

627
where reported as multiple variants

       site |      Freq.     Percent        Cum.
------------+-----------------------------------
       ccra |      1,390        9.09        9.09
       ccrb |      1,390        9.09       18.18
       dfrb |      1,390        9.09       27.27
       erma |      1,390        9.09       36.36
       fusa |      1,390        9.09       45.45
  grla/gyra |      1,390        9.09       54.55
       iles |      1,390        9.09       63.64
       rpob |      1,390        9.09       72.73
        sea |      1,390        9.09       81.82
        seh |      1,390        9.09       90.91
        seu |      1,390        9.09      100.00
------------+-----------------------------------
      Total |     15,290      100.00
single variants
30 out of 508 sites are borderline +/- 5 from threshold
5.9055118 percent
0 out of 8 sites are borderline +/- 5 from threshold
0 percent
7 out of 8 sites are 5 or more above threshold
87.5 percent
1 out of 8 sites are 5 or more below threshold
12.5 percent

               |      borderline
          site |        no        yes |     Total
---------------+----------------------+----------
          lnua |         0          6 |         6 
          mupa |         1          1 |         2 
---------------+----------------------+----------
         Total |         1          7 |         8 


           |      borderline
       set |        no        yes |     Total
-----------+----------------------+----------
Collindale |         1          7 |         8 
-----------+----------------------+----------
     Total |         1          7 |         8 

6 out of 168 sites are borderline +/- 5 from threshold
3.5714286 percent
50 out of 168 sites are 5 or more above threshold
29.761905 percent
112 out of 168 sites are 5 or more below threshold
66.666667 percent

               |            borderline
          site | borderl..         no        yes |     Total
---------------+---------------------------------+----------
      aac6aph2 |         0          2          0 |         2 
    aaddaph4ia |         0          2          0 |         2 
    aadeant6ia |         4         24          0 |        28 
        ant9ia |         0          2          2 |         4 
          arca |         0          1          0 |         1 
          blaz |         0         19          0 |        19 
         ccrca |         0          0          8 |         8 
         ccrcb |         0          2         20 |        22 
         ccrcc |         0          3         13 |        16 
           chp |         0          1          0 |         1 
          dfra |         0          2          1 |         3 
          dfrg |         0          1          0 |         1 
          ermb |         0          1          0 |         1 
          ermc |         0         10          0 |        10 
           eta |         0          1          0 |         1 
           etb |         0          1          0 |         1 
           etd |         0          1          0 |         1 
          fusb |         0          2          0 |         2 
          fusc |         0          1          0 |         1 
        lukpvf |         2          0          0 |         2 
        lukpvs |         0          3          0 |         3 
          meca |         0          1          0 |         1 
          mphc |         0          1          0 |         1 
          msra |         0          1          0 |         1 
          qaca |         0          1          0 |         1 
          qacb |         0          1          1 |         2 
       qaccsmr |         0          6          1 |         7 
           sak |         0          3          0 |         3 
          sasx |         0          1          0 |         1 
          sat4 |         0          1          1 |         2 
           scn |         0          3          0 |         3 
           seb |         0          1          0 |         1 
           sec |         0          1          0 |         1 
           seg |         0          5          1 |         6 
           sei |         0          1          2 |         3 
          tetk |         0          4          0 |         4 
          tetm |         0          1          0 |         1 
         tsst1 |         0          1          0 |         1 
---------------+---------------------------------+----------
         Total |         6        112         50 |       168 


           |            borderline
       set | borderl..         no        yes |     Total
-----------+---------------------------------+----------
Collindale |         6         71         46 |       123 
 Oxford491 |         0          7          1 |         8 
 Oxford501 |         0         34          3 |        37 
-----------+---------------------------------+----------
     Total |         6        112         50 |       168 

24 out of 169 sites are borderline +/- 5 from threshold
14.201183 percent
87 out of 169 sites are 5 or more above threshold
51.47929 percent
58 out of 169 sites are 5 or more below threshold
34.319527 percent

               |            borderline
          site | borderl..         no        yes |     Total
---------------+---------------------------------+----------
      aac6aph2 |         0          1          0 |         1 
    aadeant6ia |         0          2          0 |         2 
        ant9ia |         0          3          0 |         3 
  apha3aph3iii |         0          1          0 |         1 
          blaz |         1          3          3 |         7 
         ccrca |         0          1          0 |         1 
         ccrcc |         0          0          1 |         1 
           cfr |         0          1          0 |         1 
           chp |         6          9         31 |        46 
          dfrc |         2          0          1 |         3 
          ermc |         0          2          0 |         2 
           etb |         0          0          1 |         1 
           etd |         0          0          1 |         1 
          fusc |         1          1          0 |         2 
        lukpvs |         0          0          1 |         1 
          meca |         0          2          0 |         2 
          qaca |         0          0          1 |         1 
       qaccsmr |         0          1          1 |         2 
           sak |         1          1          3 |         5 
          sat4 |         0          1          0 |         1 
           scn |         2          3         10 |        15 
           seb |         0          1          1 |         2 
           sec |         0          2          2 |         4 
           seg |         1         12          7 |        20 
           sei |         9          6         18 |        33 
           sep |         0          1          1 |         2 
          tetk |         0          2          2 |         4 
          tetm |         1          0          0 |         1 
         tsst1 |         0          2          2 |         4 
---------------+---------------------------------+----------
         Total |        24         58         87 |       169 


           |            borderline
       set | borderl..         no        yes |     Total
-----------+---------------------------------+----------
Collindale |         6         17         19 |        42 
 Oxford491 |         1          4          7 |        12 
 Oxford501 |        17         37         61 |       115 
-----------+---------------------------------+----------
     Total |        24         58         87 |       169 

0 out of 163 sites are borderline +/- 5 from threshold
0 percent
163 out of 163 sites are 5 or more above threshold
100 percent
0 out of 163 sites are 5 or more below threshold
0 percent

               | borderline
          site |       yes |     Total
---------------+-----------+----------
          arcb |         6 |         6 
          arcc |         6 |         6 
          arcd |         6 |         6 
          blaz |         1 |         1 
         ccrca |         9 |         9 
         ccrcb |        22 |        22 
         ccrcc |         6 |         6 
          dfra |         1 |         1 
          dfrc |        34 |        34 
         lukmf |         6 |         6 
          qacb |        44 |        44 
       qaccsmr |         1 |         1 
          sasx |        14 |        14 
           sei |         6 |         6 
           sep |         1 |         1 
---------------+-----------+----------
         Total |       163 |       163 


           | borderline
       set |       yes |     Total
-----------+-----------+----------
Collindale |       131 |       131 
 Oxford491 |        15 |        15 
 Oxford501 |        17 |        17 
-----------+-----------+----------
     Total |       163 |       163 

. tab borderline if sample=="RH11000301-155-1"

 borderline |      Freq.     Percent        Cum.
------------+-----------------------------------
 borderline |          1        5.56        5.56
         no |         14       77.78       83.33
        yes |          3       16.67      100.00
------------+-----------------------------------
      Total |         18      100.00

. tab ValueAll if sample=="RH11000301-155-1"

   ValueAll |      Freq.     Percent        Cum.
------------+-----------------------------------
        APA |          7       38.89       38.89
        APP |         11       61.11      100.00
------------+-----------------------------------
      Total |         18      100.00

. 
. foreach value in "AAP" "APA" "APP" "PPA" {
  2. 
. noi di "`value'"
  3. 
. 
. 
. summ bcount if ValueAll=="`value'"
  4. 
. noi di r(sum) " out of " r(N) " sites are borderline +/- 5 from threshold"
  5. 
. noi di r(sum)/r(N) *100 " percent"
  6. 
. 
. 
. summ ycount if ValueAll=="`value'"
  7. 
. noi di r(sum) " out of " r(N) " sites are 5 or more above threshold"
  8. 
. noi di r(sum)/r(N) *100 " percent"
  9. 
. 
. 
. summ ncount if ValueAll=="`value'"
 10. 
. noi di r(sum) " out of " r(N) " sites are 5 or more below threshold"
 11. 
. noi di r(sum)/r(N) *100 " percent"
 12. 
. 
. 
. noi tab site borderline if ValueAll=="`value'"
 13. 
. noi tab set borderline if ValueAll=="`value'"
 14. 
. }
AAP

    Variable |        Obs        Mean    Std. Dev.       Min        Max
-------------+---------------------------------------------------------
      bcount |          8           0           0          0          0
0 out of 8 sites are borderline +/- 5 from threshold
0 percent

    Variable |        Obs        Mean    Std. Dev.       Min        Max
-------------+---------------------------------------------------------
      ycount |          8        .875    .3535534          0          1
7 out of 8 sites are 5 or more above threshold
87.5 percent

    Variable |        Obs        Mean    Std. Dev.       Min        Max
-------------+---------------------------------------------------------
      ncount |          8        .125    .3535534          0          1
1 out of 8 sites are 5 or more below threshold
12.5 percent

               |      borderline
          site |        no        yes |     Total
---------------+----------------------+----------
          lnua |         0          6 |         6 
          mupa |         1          1 |         2 
---------------+----------------------+----------
         Total |         1          7 |         8 


           |      borderline
       set |        no        yes |     Total
-----------+----------------------+----------
Collindale |         1          7 |         8 
-----------+----------------------+----------
     Total |         1          7 |         8 

APA

    Variable |        Obs        Mean    Std. Dev.       Min        Max
-------------+---------------------------------------------------------
      bcount |        168    .0357143    .1861317          0          1
6 out of 168 sites are borderline +/- 5 from threshold
3.5714286 percent

    Variable |        Obs        Mean    Std. Dev.       Min        Max
-------------+---------------------------------------------------------
      ycount |        168     .297619    .4585779          0          1
50 out of 168 sites are 5 or more above threshold
29.761905 percent

    Variable |        Obs        Mean    Std. Dev.       Min        Max
-------------+---------------------------------------------------------
      ncount |        168    .6666667    .4728138          0          1
112 out of 168 sites are 5 or more below threshold
66.666667 percent

               |            borderline
          site | borderl..         no        yes |     Total
---------------+---------------------------------+----------
      aac6aph2 |         0          2          0 |         2 
    aaddaph4ia |         0          2          0 |         2 
    aadeant6ia |         4         24          0 |        28 
        ant9ia |         0          2          2 |         4 
          arca |         0          1          0 |         1 
          blaz |         0         19          0 |        19 
         ccrca |         0          0          8 |         8 
         ccrcb |         0          2         20 |        22 
         ccrcc |         0          3         13 |        16 
           chp |         0          1          0 |         1 
          dfra |         0          2          1 |         3 
          dfrg |         0          1          0 |         1 
          ermb |         0          1          0 |         1 
          ermc |         0         10          0 |        10 
           eta |         0          1          0 |         1 
           etb |         0          1          0 |         1 
           etd |         0          1          0 |         1 
          fusb |         0          2          0 |         2 
          fusc |         0          1          0 |         1 
        lukpvf |         2          0          0 |         2 
        lukpvs |         0          3          0 |         3 
          meca |         0          1          0 |         1 
          mphc |         0          1          0 |         1 
          msra |         0          1          0 |         1 
          qaca |         0          1          0 |         1 
          qacb |         0          1          1 |         2 
       qaccsmr |         0          6          1 |         7 
           sak |         0          3          0 |         3 
          sasx |         0          1          0 |         1 
          sat4 |         0          1          1 |         2 
           scn |         0          3          0 |         3 
           seb |         0          1          0 |         1 
           sec |         0          1          0 |         1 
           seg |         0          5          1 |         6 
           sei |         0          1          2 |         3 
          tetk |         0          4          0 |         4 
          tetm |         0          1          0 |         1 
         tsst1 |         0          1          0 |         1 
---------------+---------------------------------+----------
         Total |         6        112         50 |       168 


           |            borderline
       set | borderl..         no        yes |     Total
-----------+---------------------------------+----------
Collindale |         6         71         46 |       123 
 Oxford491 |         0          7          1 |         8 
 Oxford501 |         0         34          3 |        37 
-----------+---------------------------------+----------
     Total |         6        112         50 |       168 

